sim,classic_est,classic_se,lasso_est,lasso_se,xgb_est,xgb_se
159,9.204164235997977,6.961205880157938,9.360227702197784,6.763258741367938,10.845352398253963,7.119624462423696
160,23.054448571770614,6.659320190445861,24.72287124737322,6.6247636199475926,21.423218399356344,6.91952796743026
161,8.928647920381678,6.304041582907799,10.446344515712608,6.219215802549127,10.030635279273652,6.194675925190123
162,11.773652607602934,7.1135091379292765,12.771415257641745,7.059519996265468,14.04305161751157,7.10937612279745
163,2.2236418886988907,6.976943173468036,1.6869828369477256,6.7819804582346865,1.3213884248109313,7.097332338110089
164,13.844390563541273,6.397098510144007,14.220654068291555,6.186601813242931,14.361932789784989,6.208595891082231
165,7.02397674387736,7.265356480766689,7.247183714171947,7.040213273883229,8.986287914641618,7.1011899571002814
166,12.700283380984114,6.702254931182016,13.08310183547917,6.59546854097229,13.640861905446478,6.865550214774063
167,12.14211044341082,6.824825557974468,11.975390058769273,6.62785568376291,12.784424066217117,6.722891251360101
168,17.531522251415545,6.993410484502022,17.733752328409295,6.926392962477791,17.001528905081926,7.455905183601146
169,6.4503164540809435,6.449735017631185,6.336072440434821,6.391614288577387,4.436269491649767,6.308062098362441
170,7.952051362859621,6.934977564465195,8.455250675171355,6.842928718164357,10.572115494774984,7.034547869799975
171,7.970643710711194,6.94206038329681,8.062415181729524,6.904082105134565,8.477534159366714,6.988678602800735
172,6.148680399858597,6.46242679778114,5.766359385370619,6.397950662283943,3.7418291350980866,6.549660780650568
173,1.3463059258455348,6.660574305232709,2.565317348887871,6.712216027143518,2.9342342661860865,6.93243948612872
174,9.286569645421341,6.741842741017584,8.726663791196728,6.573858921600983,11.500167802470795,6.732331362363042
175,15.109006035039354,6.91848062524587,16.455374588722677,6.823911755546003,14.688378025764031,6.884514057093968
176,13.449294214988239,7.445549153820435,14.639222022461233,7.340414558062104,14.580909684717758,7.312875828116341
177,5.35346164575274,7.046372693230873,4.728691337483189,6.932667416349931,5.571671152668717,7.132645374570791
178,9.516663994491143,7.192271301681413,8.014818037966428,6.970734164763253,9.145749345051566,7.29654195999713
179,15.996457481814554,6.488889747096452,15.972943770283711,6.378938523761522,14.910269958458095,6.497293386905557
180,6.26356005956689,6.7119470799998355,5.2237024190084504,6.533578040668616,4.968689843402461,6.7413362674689825
181,16.740022208843467,6.544238769154727,17.077673552885955,6.49318833583032,19.815074312054605,6.7797412721195345
182,14.432794647827546,6.931929107882584,14.592718146940612,6.976040439615262,14.420297685302977,6.869860189186968
183,12.528082665663984,6.76313971282493,13.513672594532869,6.61821131834794,12.547399833995348,6.597646713663109
184,9.315815913892456,6.817392495656919,11.253095666433437,6.702612487865272,7.664136984888066,6.908355297748399
185,10.01867895190519,6.863822180859822,11.12237397607249,6.811654100649221,10.537230990526446,7.0026884231498405
186,0.23309979313733104,6.819866844716943,0.11934146832312799,6.688835006892934,3.9417977497195027,6.781724303961258
187,12.301536754571742,5.741024380451335,11.713227379151942,5.792773630164827,13.366035708586743,5.614698027585063
188,12.944071471381227,6.89585023327182,12.704388498772133,6.748675312207626,16.036809919428922,6.820033968817708
189,13.258970825956103,6.865359114141713,13.200537837868993,6.747343542363636,10.874352109802931,7.101212153541147
